#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Brevibacterium	Unclassified	HMSC063G07	NZ_KV802350.1	54579	131665	furan - lassopeptide - t1nrps hybrid	False	coelibactin	36	BGC0000324	https://antismash-db.secondarymetabolites.org/go/NZ_KV802350.1/54579-131665	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810665.1/NZ_KV802350/1/54579/131665
Streptacidiphilus	bronchialis	DSM 106435	NZ_CP031264.1	1647080	1688256	butyrolactone - furan - ladderane hybrid	False	colabomycin E	22	BGC0000213	https://antismash-db.secondarymetabolites.org/go/NZ_CP031264.1/1647080-1688256	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003258605.2/NZ_CP031264/1/1647080/1688256
Streptomyces	Unclassified	CNQ766	NZ_KB897406.1	0	40056	furan - other hybrid	True	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_KB897406.1/0-40056	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000377105.1/NZ_KB897406/1/0/40056
Streptococcus	equi	BHS5	NZ_CABY01000009.1	43188	64115	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CABY01000009.1/43188-64115	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000208725.1/NZ_CABY01000009/1/43188/64115
Ralstonia	solanacearum	FQY_4	NC_020799.1	597185	618052	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_020799.1/597185-618052	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000348545.1/NC_020799/1/597185/618052
Streptomyces	Unclassified	CNZ289	NZ_VIST01000023.1	1943	102900	furan - other - t3pks - terpene hybrid	False	napyradiomycin A80915C	80	BGC0001079	https://antismash-db.secondarymetabolites.org/go/NZ_VIST01000023.1/1943-102900	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007827565.1/NZ_VIST01000023/1/1943/102900
Vibrio	cholerae	N2807	NZ_CP046741.1	68812	89814	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046741.1/68812-89814	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009762965.1/NZ_CP046741/1/68812/89814
Streptomyces	Unclassified	BK205	NZ_SLYY01000004.1	48677	93492	furan - t1pks hybrid	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_SLYY01000004.1/48677-93492	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004341025.1/NZ_SLYY01000004/1/48677/93492
Curtobacterium	Unclassified	MCLR17_051	NZ_QKTA01000004.1	125285	146182	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QKTA01000004.1/125285-146182	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003234395.1/NZ_QKTA01000004/1/125285/146182
Glutamicibacter	nicotianae	OTC-16	NZ_CP033082.1	52414	73335	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP033082.1/52414-73335	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003687415.1/NZ_CP033082/1/52414/73335
Streptomyces	Unclassified	TAA204	NZ_AUKW01000003.1	363730	522850	furan - pks-like - t1nrps - terpene - transat-pks hybrid	False	virginiamycin S1	88	BGC0001116	https://antismash-db.secondarymetabolites.org/go/NZ_AUKW01000003.1/363730-522850	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000424965.1/NZ_AUKW01000003/1/363730/522850
Ralstonia	solanacearum	RSCM	NZ_CP021766.1	2844615	2865482	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021766.1/2844615-2865482	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002549815.1/NZ_CP021766/1/2844615/2865482
Kibdelosporangium	phytohabitans	KLBMP1111	NZ_CP012752.1	1011491	1032532	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP012752.1/1011491-1032532	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001302585.1/NZ_CP012752/1/1011491/1032532
Brevibacterium	aurantiacum	SMQ-1417	NZ_AAGP01000053.1	3491	26766	furan - lanthipeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AAGP01000053.1/3491-26766	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000167575.1/NZ_AAGP01000053/1/3491/26766
Ralstonia	solanacearum	OE1-1	NZ_CP009764.1	648246	669113	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP009764.1/648246-669113	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001879565.1/NZ_CP009764/1/648246/669113
Vibrio	cholerae	N2807	NZ_VSIU01000064.1	206152	227154	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSIU01000064.1/206152-227154	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083255.1/NZ_VSIU01000064/1/206152/227154
Leuconostoc	inhae	C120c	NZ_FBSX01000005.1	27905	48844	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_FBSX01000005.1/27905-48844	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900016185.1/NZ_FBSX01000005/1/27905/48844
Bacillus	cereus	F65185	NZ_CM000736.1	5612680	5633673	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CM000736.1/5612680-5633673	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000161315.1/NZ_CM000736/1/5612680/5633673
Rhodococcus	aetherivorans	IcdP1	NZ_CP011341.1	281368	352485	furan - t1pks hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP011341.1/281368-352485	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000982715.1/NZ_CP011341/1/281368/352485
Vibrio	cholerae	N2807	NZ_VSHX01000012.1	260606	281608	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHX01000012.1/260606-281608	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083685.1/NZ_VSHX01000012/1/260606/281608
Actinoplanes	Unclassified	TFC3	NZ_LOJP01000009.1	6826	82530	furan - t1nrps hybrid	False	dechlorocuracomycin	20	BGC0001569	https://antismash-db.secondarymetabolites.org/go/NZ_LOJP01000009.1/6826-82530	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001553785.1/NZ_LOJP01000009/1/6826/82530
Arthrobacter	alpinus	ERGS4:06	NZ_CP013746.1	0	22355	bacteriocin - furan hybrid	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP013746.1/0-22355	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000755585.2/NZ_CP013746/1/0/22355
Arthrobacter	alpinus	ERGS4:06	NZ_CP013746.1	173323	194226	furan	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP013746.1/173323-194226	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000755585.2/NZ_CP013746/1/173323/194226
Streptococcus	equi	H70	NZ_LR134317.1	2008223	2029150	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR134317.1/2008223-2029150	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636805.1/NZ_LR134317/1/2008223/2029150
Pseudomonas	syringae	31R1	NZ_FNPP01000026.1	0	16869	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FNPP01000026.1/0-16869	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900107345.1/NZ_FNPP01000026/1/0/16869
Microbacterium	paludicola	CC3	NZ_CP018134.1	1148951	1180906	furan - lipolanthine hybrid	False	microvionin	69	BGC0001669	https://antismash-db.secondarymetabolites.org/go/NZ_CP018134.1/1148951-1180906	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001887285.1/NZ_CP018134/1/1148951/1180906
Streptomyces	Unclassified	BK042	NZ_SLZH01000001.1	660207	704881	furan - t1pks hybrid	False	rustmicin	10	BGC0000065	https://antismash-db.secondarymetabolites.org/go/NZ_SLZH01000001.1/660207-704881	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004343295.1/NZ_SLZH01000001/1/660207/704881
Streptococcus	mitis	OD_317805_11	NZ_MUXS01000003.1	233754	254648	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_MUXS01000003.1/233754-254648	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002014875.1/NZ_MUXS01000003/1/233754/254648
Streptomyces	Unclassified	endophyte_N2	NZ_CP028719.1	6654960	6676016	furan	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP028719.1/6654960-6676016	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004104485.1/NZ_CP028719/1/6654960/6676016
Streptococcus	Unclassified	CNU 77-61	NZ_CP046875.1	1197902	1218811	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046875.1/1197902-1218811	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009792335.1/NZ_CP046875/1/1197902/1218811
Bacillus	cereus	FORC087	NZ_CP012483.1	4908929	4930012	furan	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP012483.1/4908929-4930012	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001277915.1/NZ_CP012483/1/4908929/4930012
Nocardiopsis	Unclassified	FR4	NZ_VWVV01000039.1	38775	53229	furan	True	Sch-47554 / Sch-47555	3	BGC0000268	https://antismash-db.secondarymetabolites.org/go/NZ_VWVV01000039.1/38775-53229	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009830945.1/NZ_VWVV01000039/1/38775/53229
Ralstonia	solanacearum	RSCM	NZ_CP016904.1	409261	430026	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016904.1/409261-430026	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001708525.1/NZ_CP016904/1/409261/430026
Acinetobacter	oleivorans	DR1	NZ_VEIV01000008.1	74170	144732	furan - hserlactone - t1nrps hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VEIV01000008.1/74170-144732	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007680785.1/NZ_VEIV01000008/1/74170/144732
Vibrio	owensii	V180403	NZ_BBPJ01000007.1	92004	112994	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BBPJ01000007.1/92004-112994	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000829735.1/NZ_BBPJ01000007/1/92004/112994
Actinomyces	oris	R21091	NZ_MSKM01000019.1	92831	113827	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_MSKM01000019.1/92831-113827	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001937385.1/NZ_MSKM01000019/1/92831/113827
Lactobacillus	lindneri	TMW 1.1993	NZ_CP014872.1	691558	712407	butyrolactone - furan hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP014872.1/691558-712407	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001702115.1/NZ_CP014872/1/691558/712407
Rathayibacter	Unclassified	AY1B6	NZ_PSWL01000002.1	55577	76495	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PSWL01000002.1/55577-76495	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002932755.1/NZ_PSWL01000002/1/55577/76495
Pseudomonas	syringae	MAFF212063	NZ_CP024712.1	5662091	5683027	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP024712.1/5662091-5683027	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002763655.1/NZ_CP024712/1/5662091/5683027
Streptococcus	pseudopneumoniae	SMRU2248	NZ_JVGV01000011.1	88390	109284	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JVGV01000011.1/88390-109284	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001076775.1/NZ_JVGV01000011/1/88390/109284
Actinokineospora	terrae	DSM 44260	NZ_FOGI01000001.1	841879	862872	furan	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_FOGI01000001.1/841879-862872	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900111175.1/NZ_FOGI01000001/1/841879/862872
Vibrio	Unclassified	MEBiC08052	NZ_KQ947475.1	3510675	3565238	furan - nrps-like hybrid	False	vibrioferrin	27	BGC0000947	https://antismash-db.secondarymetabolites.org/go/NZ_KQ947475.1/3510675-3565238	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001506075.1/NZ_KQ947475/1/3510675/3565238
Nocardia	amikacinitolerans	DSM 45537	NZ_OBEG01000002.1	758241	779234	furan	False	vazabitide A	10	BGC0001818	https://antismash-db.secondarymetabolites.org/go/NZ_OBEG01000002.1/758241-779234	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900215415.1/NZ_OBEG01000002/1/758241/779234
Rathayibacter	Unclassified	AY1E3	NZ_PSVN01000001.1	121516	142434	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PSVN01000001.1/121516-142434	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002932235.1/NZ_PSVN01000001/1/121516/142434
Rathayibacter	Unclassified	AY1B8	NZ_PSWJ01000003.1	70609	91527	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PSWJ01000003.1/70609-91527	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002932775.1/NZ_PSWJ01000003/1/70609/91527
Rathayibacter	Unclassified	AY1F6	NZ_PSVD01000003.1	163814	184732	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PSVD01000003.1/163814-184732	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002932035.1/NZ_PSVD01000003/1/163814/184732
Tardiphaga	Unclassified	OV697	NZ_QENW01000019.1	9769	30159	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QENW01000019.1/9769-30159	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003096755.1/NZ_QENW01000019/1/9769/30159
Rhodococcus	aetherivorans	IcdP1	NZ_CM002177.1	5596849	5657346	furan - t1pks hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CM002177.1/5596849-5657346	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000470885.1/NZ_CM002177/1/5596849/5657346
Curtobacterium	Unclassified	MCBA15_012	NZ_MJGP01000008.1	45709	66612	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_MJGP01000008.1/45709-66612	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001864935.1/NZ_MJGP01000008/1/45709/66612
Actinopolyspora	xinjiangensis	DSM 46732	NZ_FNJR01000009.1	56159	77167	furan	False	methylenomycin A	23	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_FNJR01000009.1/56159-77167	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900104475.1/NZ_FNJR01000009/1/56159/77167
Streptomyces	Unclassified	NRRL S-474	NZ_KL585955.1	21774	81289	furan - t1nrps hybrid	False	paulomycin	5	BGC0001732	https://antismash-db.secondarymetabolites.org/go/NZ_KL585955.1/21774-81289	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000722015.1/NZ_KL585955/1/21774/81289
Auritidibacter	Unclassified	NML130574	NZ_CP031746.1	1793603	1823747	furan - lanthipeptide hybrid	False	microvionin	8	BGC0001669	https://antismash-db.secondarymetabolites.org/go/NZ_CP031746.1/1793603-1823747	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003185725.2/NZ_CP031746/1/1793603/1823747
Sphingobacterium	olei	HAL-9	NZ_SUME01000014.1	25394	41755	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SUME01000014.1/25394-41755	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005048855.1/NZ_SUME01000014/1/25394/41755
Rhodococcus	Unclassified	DMU1	NZ_CP050952.1	294642	355014	furan - t1pks hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP050952.1/294642-355014	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_012272955.1/NZ_CP050952/1/294642/355014
Acinetobacter	pittii	WCHAP100010	NZ_CP040911.1	3661617	3733118	furan - hserlactone - t1nrps hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP040911.1/3661617-3733118	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008694085.1/NZ_CP040911/1/3661617/3733118
Vibrio	owensii	V180403	NZ_CP025797.1	188074	209064	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025797.1/188074-209064	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002887655.1/NZ_CP025797/1/188074/209064
Streptomyces	aquilus	GGCR-6	NZ_CP034463.1	9461699	9506373	furan - t1pks hybrid	False	rustmicin	10	BGC0000065	https://antismash-db.secondarymetabolites.org/go/NZ_CP034463.1/9461699-9506373	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003955715.1/NZ_CP034463/1/9461699/9506373
Rhodococcus	Unclassified	WB1	NZ_CP015529.1	5166980	5227477	furan - t1pks hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP015529.1/5166980-5227477	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001700945.1/NZ_CP015529/1/5166980/5227477
Streptomyces	tsukubensis	AT3	NZ_CP045178.1	4695131	4799225	furan - nucleoside - t1nrps - t1pks hybrid	False	methylenomycin A	47	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP045178.1/4695131-4799225	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009296025.1/NZ_CP045178/1/4695131/4799225
Arthrobacter	woluwensis	DE0050	NZ_PVZO01000003.1	387764	408682	furan	False	kanamycin	2	BGC0000703	https://antismash-db.secondarymetabolites.org/go/NZ_PVZO01000003.1/387764-408682	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003024475.1/NZ_PVZO01000003/1/387764/408682
Arthrobacter	woluwensis	DE0050	NZ_PVZO01000005.1	165469	186372	furan	False	diisonitrile antibiotic SF2768	11	BGC0001574	https://antismash-db.secondarymetabolites.org/go/NZ_PVZO01000005.1/165469-186372	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003024475.1/NZ_PVZO01000005/1/165469/186372
Luteimicrobium	xylanilyticum	HY-24	NZ_CP045529.1	336241	357165	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP045529.1/336241-357165	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009429125.1/NZ_CP045529/1/336241/357165
Streptomyces	formicae	KY5	NZ_CP022685.1	7095747	7118862	butyrolactone - furan hybrid	False	methylenomycin A	33	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP022685.1/7095747-7118862	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002556545.1/NZ_CP022685/1/7095747/7118862
Streptococcus	mitis	OD_317805_11	NZ_MUYO01000002.1	336090	356984	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_MUYO01000002.1/336090-356984	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002014795.1/NZ_MUYO01000002/1/336090/356984
Streptomyces	bingchenggensis	BCW-1	NC_016582.1	1341370	1513589	furan - hgle-ks - t1nrps - t1pks hybrid	False	cadaside A / cadaside B	19	BGC0001968	https://antismash-db.secondarymetabolites.org/go/NC_016582.1/1341370-1513589	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000092385.1/NC_016582/1/1341370/1513589
Saccharothrix	tamanrassetensis	CECT 8640	NZ_JACHJN010000012.1	119211	140321	furan	False	asukamycin	30	BGC0000187	https://antismash-db.secondarymetabolites.org/go/NZ_JACHJN010000012.1/119211-140321	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014203665.1/NZ_JACHJN010000012/1/119211/140321
Actinokineospora	cianjurensis	DSM 45657	NZ_RCDD01000005.1	401421	422414	furan	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_RCDD01000005.1/401421-422414	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003663795.1/NZ_RCDD01000005/1/401421/422414
Liquorilactobacillus	ghanensis	DSM 18630	NZ_AZGB01000015.1	5375	25816	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AZGB01000015.1/5375-25816	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001435235.1/NZ_AZGB01000015/1/5375/25816
Actinopolyspora	erythraea	YIM 90600	NZ_CP022752.1	4869073	4920526	furan - t1nrps - t1pks hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP022752.1/4869073-4920526	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002263515.1/NZ_CP022752/1/4869073/4920526
Nocardia	brasiliensis	HUJEG-1	NC_018681.1	8416149	8437139	furan	False	vazabitide A	10	BGC0001818	https://antismash-db.secondarymetabolites.org/go/NC_018681.1/8416149-8437139	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000250675.2/NC_018681/1/8416149/8437139
Segniliparus	rugosus	ATCC BAA-974	NZ_KI391954.1	96572	153795	furan - t1pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI391954.1/96572-153795	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000185725.2/NZ_KI391954/1/96572/153795
Oerskovia	Unclassified	KBS0722	NZ_CP042174.1	578119	599175	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP042174.1/578119-599175	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005937995.2/NZ_CP042174/1/578119/599175
Enterococcus	Unclassified	12C11_DIV0727	NZ_NGLZ01000001.1	3377329	3398277	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NGLZ01000001.1/3377329-3398277	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002148425.1/NZ_NGLZ01000001/1/3377329/3398277
Brevibacterium	luteolum	UMB0680	NZ_CP035810.1	357818	416580	furan - nrps-like hybrid	False	amicetin	12	BGC0000953	https://antismash-db.secondarymetabolites.org/go/NZ_CP035810.1/357818-416580	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011462075.1/NZ_CP035810/1/357818/416580
Pantoea	Unclassified	EKM10T	NZ_JAALEU010000007.1	216300	237152	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JAALEU010000007.1/216300-237152	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011800685.1/NZ_JAALEU010000007/1/216300/237152
Herbiconiux	Unclassified	YR403	NZ_KN549088.1	505157	526228	furan	False	natamycin	9	BGC0000108	https://antismash-db.secondarymetabolites.org/go/NZ_KN549088.1/505157-526228	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000799285.1/NZ_KN549088/1/505157/526228
Sphingobacterium	Unclassified	NYYP31	NZ_SMMI01000012.1	2456	23398	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SMMI01000012.1/2456-23398	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009733535.1/NZ_SMMI01000012/1/2456/23398
Serratia	Unclassified	FGI94	NC_020064.1	4007540	4028548	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_020064.1/4007540-4028548	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000330865.1/NC_020064/1/4007540/4028548
Curtobacterium	Unclassified	MCBA15_013	NZ_MJGQ01000045.1	39483	60455	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_MJGQ01000045.1/39483-60455	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001865095.1/NZ_MJGQ01000045/1/39483/60455
Nocardiopsis	Unclassified	CNT312	NZ_AZXF01000023.1	49807	70818	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AZXF01000023.1/49807-70818	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000515115.1/NZ_AZXF01000023/1/49807/70818
Glutamicibacter	Unclassified	BW80	NZ_NRGV01000037.1	0	13304	furan	True	BE-7585A	4	BGC0000203	https://antismash-db.secondarymetabolites.org/go/NZ_NRGV01000037.1/0-13304	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002332385.1/NZ_NRGV01000037/1/0/13304
Plantactinospora	Unclassified	KBS50	NZ_CP022961.1	549508	570597	furan	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP022961.1/549508-570597	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002285795.1/NZ_CP022961/1/549508/570597
Xenorhabdus	innexi	HGB1681 (deposited as PTA-6826 in the American Type Culture Collection)	NZ_LT699767.1	3533991	3554849	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LT699767.1/3533991-3554849	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900155355.1/NZ_LT699767/1/3533991/3554849
Paenarthrobacter	nitroguajacolicus	xwA3	NZ_CVLG01000003.1	285362	306373	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CVLG01000003.1/285362-306373	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001375615.1/NZ_CVLG01000003/1/285362/306373
Lactobacillus	gastricus	LG045	NZ_CP045729.1	588506	609178	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP045729.1/588506-609178	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009648555.1/NZ_CP045729/1/588506/609178
Nocardia	Unclassified	BMG111209	NZ_KB907310.1	430462	451479	furan	False	meridamycin	5	BGC0001011	https://antismash-db.secondarymetabolites.org/go/NZ_KB907310.1/430462-451479	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000381925.1/NZ_KB907310/1/430462/451479
Vibrio	Unclassified	2521-89	NZ_CP022352.1	572214	593216	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022352.1/572214-593216	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002216685.1/NZ_CP022352/1/572214/593216
